,City,City ID,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
73,Castro,3466704,0,BR,1659498294,73,-24.7911,-50.0119,56.84,4.18
74,Hualmay,3939761,45,PE,1659498382,85,-11.0964,-77.6139,61.14,11.92
75,Coquimbo,3893629,100,CL,1659498707,76,-29.9533,-71.3436,53.33,3.44
76,Sistranda,3139597,100,NO,1659498316,82,63.7256,8.834,58.96,13.18
77,Hambantota,1244926,75,LK,1659498708,89,6.1241,81.1185,79.14,12.66
78,Port Lincoln,2063036,4,AU,1659498708,48,-34.7333,135.8667,64.99,32.61
79,Grand Gaube,934479,8,MU,1659498708,77,-20.0064,57.6608,68.4,1.99
80,Étaples,3019441,100,FR,1659498709,100,50.5219,1.6332,63.16,4.61
81,Nioro,2412408,96,GM,1659498204,91,13.35,-15.75,76.1,5.14
82,Sur,286245,83,OM,1659498709,60,22.5667,59.5289,89.94,1.34
83,Faanui,4034551,47,PF,1659498709,68,-16.4833,-151.75,79.02,22.5
84,Fare,4034496,27,PF,1659498710,72,-16.7,-151.0167,78.24,22.48
85,Tarauacá,3661980,98,BR,1659498710,80,-8.1614,-70.7656,76.41,1.48
86,Butaritari,2110227,54,KI,1659498710,78,3.0707,172.7902,81.41,13.8
87,Orlik,1496073,91,RU,1659498353,61,52.5178,99.825,66.18,4.59
88,Thompson,6165406,75,CA,1659498711,100,55.7435,-97.8558,55.56,5.75
89,Anadyr,2127202,20,RU,1659498711,49,64.75,177.4833,70.3,13.42
90,Nova Olímpia,3456137,2,BR,1659498711,35,-14.7972,-57.2881,72.41,3.36
91,Arraial do Cabo,3471451,0,BR,1659498642,89,-22.9661,-42.0278,68.94,6.64
92,Finschhafen,2097418,68,PG,1659498712,68,-6.6024,147.8681,84.4,11.36
93,Tuktoyaktuk,6170031,75,CA,1659498712,87,69.4541,-133.0374,51.8,10.36
94,Avarua,4035715,75,CK,1659498712,60,-21.2078,-159.775,75.25,12.66
95,Gweta,933734,44,BW,1659498713,73,-20.1833,25.2333,55.26,12.82
96,Aswān,359792,0,EG,1659498018,23,24.0934,32.907,85.3,4.61
97,Mahébourg,934322,40,MU,1659498713,83,-20.4081,57.7,68.29,8.05
98,Tasiilaq,3424607,23,GL,1659498304,63,65.6145,-37.6368,41.16,2.51
99,Thinadhoo,1337610,85,MV,1659498714,78,0.5333,72.9333,79.77,11.41
100,Kingaroy,2161376,31,AU,1659498714,50,-26.5333,151.8333,70.99,4.97
101,Cherskiy,2126199,100,RU,1659498714,86,68.75,161.3,50.23,10.02
102,Seoul,1835848,100,KR,1659498489,81,37.5683,126.9778,85.57,9.22
103,Carnarvon,2074865,75,AU,1659498715,77,-24.8667,113.6333,66.27,11.5
104,Saint-Philippe,935215,64,RE,1659498715,86,-21.3585,55.7679,65.79,13.67
105,Fossombrone,3176630,3,IT,1659498715,75,43.6908,12.8127,72.41,3.02
106,Caravelas,3466980,0,BR,1659498375,88,-17.7125,-39.2481,68.4,4.09
107,Laas,3175096,10,IT,1659498309,88,46.6166,10.7002,58.37,1.77
108,Port-Cartier,6111696,0,CA,1659498084,72,50.0334,-66.8654,64.08,11.95
109,Faya,110690,58,SA,1659498716,64,18.3851,42.4509,59.52,1.9
110,Chokurdakh,2126123,100,RU,1659498716,44,70.6333,147.9167,57.42,5.86
111,Cayce,4573888,0,US,1659498717,67,33.9657,-81.074,84.15,0.0
112,Provideniya,4031574,0,RU,1659498717,87,64.3833,-173.3,50.11,13.42
113,New Norfolk,2155415,96,AU,1659498717,76,-42.7826,147.0587,59.92,1.99
114,Saint-Leu,6690297,3,RE,1659498718,78,-21.15,55.2833,69.31,12.64
115,Bowen,2174444,2,AU,1659498718,73,-20.0167,148.2333,72.32,14.27
116,Korla,1529376,0,CN,1659498172,26,41.7597,86.1469,86.54,9.84
117,Cairns,2172797,75,AU,1659498456,65,-16.9167,145.7667,86.07,14.97
118,Saskylakh,2017155,100,RU,1659498718,65,71.9167,114.0833,47.08,14.56
119,Albany,5106841,0,US,1659498719,83,42.6001,-73.9662,69.44,5.19
120,Saint Paul Harbor,5866583,0,US,1659498719,48,57.79,-152.4072,65.71,28.77
121,Yerbogachën,2012956,100,RU,1659498719,97,61.2767,108.0108,64.35,6.82
122,Malpe,1264037,100,IN,1659498720,96,13.35,74.7167,76.3,5.57
123,Olkhovka,1504317,75,RU,1659498720,65,53.2115,60.6069,64.78,12.37
124,Nizwá,286987,45,OM,1659498720,44,22.9333,57.5333,91.06,0.47
125,Jalu,86049,0,LY,1659498721,56,29.0331,21.5482,77.59,8.72
126,Aginskoye,2028078,82,RU,1659498204,47,51.1,114.53,84.27,9.37
127,La Macarena,3827693,83,CO,1659498721,95,2.1837,-73.7849,71.44,1.39
128,Anloga,2304548,32,GH,1659498721,80,5.7947,0.8973,73.17,14.23
129,Jinchang,1805733,17,CN,1659498722,51,38.4953,102.1739,79.74,11.79
130,Coyhaique,3894426,0,CL,1659498722,81,-45.5752,-72.0662,39.81,6.91
131,Prince George,6113365,100,CA,1659498609,65,53.9166,-122.753,64.26,5.75
132,Fereydūnkenār,134602,30,IR,1659498368,66,36.6864,52.5225,82.69,4.0
133,Kultayevo,539369,0,RU,1659498722,67,57.8943,55.9392,64.38,8.99
134,Atuona,4020109,11,PF,1659498723,75,-9.8,-139.0333,77.36,14.5
135,Magaria,2441482,89,NE,1659498723,74,12.9983,8.9099,76.93,8.93
136,Visnes,3131500,100,NO,1659498193,94,59.3556,5.2242,62.22,13.8
137,Kurtalan,305532,0,TR,1659498724,21,37.9272,41.7028,86.32,3.27
138,Inhambane,1045114,20,MZ,1659498380,94,-23.865,35.3833,53.58,3.44
139,Camacha,2270385,75,PT,1659498724,77,33.0833,-16.3333,65.62,16.11
140,Preobrazheniye,2017658,53,RU,1659498221,93,42.9019,133.9064,74.97,4.83
141,Qaanaaq,3831208,26,GL,1659498725,65,77.484,-69.3632,41.58,4.09
142,Along,1278969,100,IN,1659498725,73,28.1667,94.7667,86.45,1.74
143,Kahului,5847411,40,US,1659498725,67,20.8947,-156.47,84.22,21.85
144,Acapulco de Juárez,3533462,81,MX,1659498535,85,16.8634,-99.8901,79.81,4.32
145,Wamba,2319257,94,NG,1659498726,95,8.9333,8.6,67.51,2.17
146,Pervomayskoye,797213,2,RU,1659498726,54,43.919,46.7102,82.89,8.99
147,Guaranda,3657571,65,EC,1659498726,84,-1.6,-79.0,51.42,9.26
148,New Amsterdam,3376762,100,GY,1659498727,97,6.25,-57.5167,74.1,2.73
149,Ponta do Sol,2264557,10,PT,1659498727,79,32.6667,-17.1,70.43,4.9
150,Norman Wells,6089245,75,CA,1659498727,94,65.282,-126.8329,62.64,6.91
151,Koumac,2140558,52,NC,1659498350,79,-20.5667,164.2833,76.73,13.09
152,Metu,330764,30,ET,1659498728,98,8.3,35.5833,52.43,2.19
153,Pitsunda,615460,54,GE,1659498728,76,43.1592,40.3378,73.58,2.17
154,Half Moon Bay,5354943,100,US,1659498307,77,37.4636,-122.4286,71.51,13.8
155,Pochutla,3517970,52,MX,1659498360,90,15.7432,-96.4661,78.82,4.92
156,Nantucket,4944903,40,US,1659498708,94,41.2835,-70.0995,77.11,8.05
157,Keene,5088262,40,US,1659498729,82,42.9337,-72.2781,73.71,4.61
158,Qingdao,1797929,20,CN,1659498729,70,36.0986,120.3719,91.0,6.71
159,Bloomingdale,4148207,75,US,1659498729,92,27.8936,-82.2404,84.85,3.44
160,Tomra,3134357,100,NO,1659498729,86,62.5833,6.9333,61.74,4.27
161,‘Ewa Beach,5855051,20,US,1659498170,55,21.3156,-158.0072,84.15,17.27
162,Ixtapa,4004293,75,MX,1659498294,74,20.7,-105.2,85.23,0.0
163,Prince Rupert,6113406,100,CA,1659498119,94,54.3161,-130.3201,56.89,2.3
164,Kropotkin,540761,9,RU,1659498730,77,45.4375,40.5756,73.54,2.26
165,Kiryat Gat,293842,0,IL,1659498543,100,31.61,34.7642,77.4,3.04
166,Touros,3386213,12,BR,1659498730,88,-5.1989,-35.4608,75.24,8.28
167,Kirkenes,779303,0,NO,1659498731,94,69.7271,30.0458,58.15,4.61
168,Zhangye,1785036,47,CN,1659498731,45,38.9342,100.4517,78.96,12.01
169,Colares,2269142,85,PT,1659498136,74,38.7992,-9.4469,68.29,21.99
170,Port Hawkesbury,6111867,100,CA,1659498731,99,45.6169,-61.3485,69.78,4.61
171,Cabo San Lucas,3985710,4,MX,1659498549,64,22.8909,-109.9124,86.5,4.0
172,Ilulissat,3423146,100,GL,1659498102,76,69.2167,-51.1,48.22,1.14
173,Narsaq,3421719,20,GL,1659498302,79,60.9167,-46.05,44.82,2.28
174,Ust-Nera,2120048,75,RU,1659498135,50,64.5667,143.2,77.72,6.73
175,Ancud,3899695,100,CL,1659498554,91,-41.8697,-73.8203,44.22,5.53
176,Gilbués,3398931,56,BR,1659498732,46,-9.8317,-45.3439,68.29,3.87
177,Barrow,5880054,0,US,1659498308,71,71.2906,-156.7887,50.02,10.36
178,Kang,933692,8,BW,1659498733,73,-23.6752,22.7876,53.46,15.23
179,Hirara,1862505,75,JP,1659498733,79,24.8,125.2833,87.66,18.41
180,Banamba,2460546,83,ML,1659498733,76,13.55,-7.45,74.07,6.31
181,Wenling,1791464,17,CN,1659498195,68,28.3669,121.36,87.58,10.49
182,Havre-St-Pierre,5972291,100,CA,1659498734,100,50.2334,-63.5986,62.96,3.44
183,Kudat,1736458,20,MY,1659498651,70,6.8837,116.8477,87.73,5.99
184,Saint-François,2980080,0,FR,1659498734,88,46.4154,3.9054,58.68,2.3
185,Qasigiannguit,3420768,100,GL,1659498141,98,68.8193,-51.1922,48.45,4.54
186,Puerto del Rosario,2512186,0,ES,1659498351,64,28.5004,-13.8627,74.95,10.36
187,Chemal,1508285,80,RU,1659498734,75,51.4111,86.005,69.33,3.78
188,Constitución,3893726,0,CL,1659498735,70,-35.3333,-72.4167,46.67,5.5
189,Marrakesh,2542997,40,MA,1659498735,51,31.6315,-8.0083,82.47,4.61
190,Nortelândia,3456248,0,BR,1659498736,35,-14.4547,-56.8028,71.82,3.53
191,Lüderitz,3355672,0,NA,1659498736,82,-26.6481,15.1594,53.24,6.51
192,Hilo,5855927,100,US,1659498736,77,19.7297,-155.09,78.53,6.91
193,Puerto Ayora,3652764,25,EC,1659498737,87,-0.7393,-90.3518,69.55,8.99
194,Souillac,933995,40,MU,1659498737,83,-20.5167,57.5167,68.38,8.05
195,Laguna,5364271,0,US,1659498737,44,38.421,-121.4238,91.69,13.8
196,Marawi,1701054,62,PH,1659498191,55,7.9986,124.2928,83.86,3.2
197,Katsuura,2112309,93,JP,1659498738,71,35.1333,140.3,87.84,15.01
198,Tuy Hoa,1563281,94,VN,1659498738,80,13.0833,109.3,82.02,5.41
199,Naregal,1261810,100,IN,1659498738,79,15.5833,75.8167,77.4,10.09
200,Srednekolymsk,2121025,100,RU,1659498738,84,67.45,153.6833,57.67,12.84
201,Tahoua,2439376,100,NE,1659498739,67,14.8888,5.2692,78.44,7.11
202,Palmer,4946620,0,US,1659498739,81,42.1584,-72.3287,74.21,9.22
203,Nankana Sahib,1169372,13,PK,1659498739,56,31.4475,73.6972,93.06,8.55
204,Chimbote,3698304,72,PE,1659498740,85,-9.0853,-78.5783,61.59,9.78
205,Ewo,2260009,87,CG,1659498740,60,-0.8725,14.8206,76.84,7.99
206,Esperance,2071860,44,AU,1659498740,57,-33.8667,121.9,57.04,33.93
207,Saint Anthony,5044290,0,US,1659498741,74,45.0205,-93.218,87.93,9.22
208,Casale Monferrato,3180208,78,IT,1659498741,79,45.1334,8.4571,70.86,3.47
209,Safaga,358620,38,EG,1659498742,42,26.7292,33.9365,87.28,12.5
210,Monrovia,2274895,60,LR,1659498633,85,6.3005,-10.7969,73.17,8.63
211,Fort Nelson,5955902,100,CA,1659498742,100,58.8053,-122.7002,56.79,4.61
212,San Ramon,5392593,0,US,1659498742,63,37.7799,-121.978,76.3,13.8
213,Tougue,2414544,87,GN,1659498743,97,11.4667,-11.6,64.8,3.0
214,Kandrian,2094746,70,PG,1659498743,65,-6.2167,149.55,85.66,14.43
215,Viedma,3832899,0,AR,1659498743,78,-40.8135,-62.9967,42.46,4.85
216,Zhigansk,2012530,85,RU,1659498191,54,66.7697,123.3711,50.88,18.77
217,Tupelo,4448903,20,US,1659498660,86,34.2576,-88.7034,80.89,3.44
218,Tabuny,1490356,100,RU,1659498744,45,52.7773,78.7896,69.22,9.93
219,Verkhniy Lomov,474926,99,RU,1659498744,70,53.4678,43.5511,65.52,6.08
220,Paita,3694112,1,PE,1659498744,88,-5.0892,-81.1144,63.32,13.09
221,Bethel,5282297,75,US,1659498745,94,41.3712,-73.414,76.77,0.0
222,Ouahigouya,2357043,95,BF,1659498745,73,13.5828,-2.4216,78.37,6.89
223,Gornopravdinsk,1506268,12,RU,1659498745,48,60.05,69.9,68.43,4.32
224,Klaksvík,2618795,100,FO,1659498746,86,62.2266,-6.589,49.12,20.4
225,Raja,368246,92,SS,1659498746,96,8.4596,25.678,68.56,4.29
226,Kushima,1895695,80,JP,1659498746,62,31.4583,131.2333,90.43,6.58
227,Waipawa,2206874,15,NZ,1659498182,64,-41.4122,175.5153,54.82,14.29
228,High Level,5975004,75,CA,1659498295,72,58.5169,-117.136,64.51,3.44
229,Erdaojiang,2037494,99,CN,1659498747,84,41.7764,126.0319,81.05,3.49
230,Makakilo City,5850554,20,US,1659498747,55,21.3469,-158.0858,82.72,17.27
231,Grindavik,3416888,40,IS,1659498747,81,63.8424,-22.4338,46.35,14.97
232,Dhārchula,1272864,89,IN,1659498748,81,29.85,80.5333,79.05,2.44
233,Beira,1052373,40,MZ,1659498748,88,-19.8436,34.8389,64.49,5.01
234,Labuhan,8079926,100,ID,1659498748,66,-6.8844,112.2051,85.35,6.64
235,Graciano Sánchez,3527413,97,MX,1659498749,68,23.9167,-99.2833,79.25,8.34
236,Colwyn Bay,2652513,80,GB,1659498749,3,53.2948,-3.7267,64.94,8.01
237,Nicoya,3622716,100,CR,1659498363,97,10.1483,-85.452,72.28,2.15
238,Buchanan,2278158,83,LR,1659498338,83,5.8808,-10.0467,74.46,6.33
239,Richards Bay,962367,6,ZA,1659498749,83,-28.783,32.0377,61.34,10.42
240,Rognan,3141548,88,NO,1659498750,30,67.0953,15.3878,52.88,7.94
241,Dingle,1714733,90,PH,1659498750,69,10.9995,122.6711,87.39,6.89
242,Grand Forks,5059430,75,US,1659498751,61,47.9417,-97.4337,78.73,12.66
243,Lumut,1735450,20,MY,1659498751,74,4.2323,100.6298,82.42,3.44
244,Paraná,3841956,68,AR,1659498751,82,-31.732,-60.5238,59.58,0.47
245,Sorong,1626542,100,ID,1659498752,74,-0.8833,131.25,83.64,7.54
246,Clonakilty,2965402,31,IE,1659498752,91,51.6231,-8.8706,59.09,15.1
247,Luanda,2240449,40,AO,1659498752,88,-8.8368,13.2343,64.4,5.75
248,Lorengau,2092164,100,PG,1659498753,79,-2.0226,147.2712,82.8,14.85
249,Geraldton,2070998,100,AU,1659498753,72,-28.7667,114.6,61.21,19.57
250,Manbij,167357,0,SY,1659498753,76,36.5281,37.9549,76.8,14.45
251,Behbahān,140951,33,IR,1659498753,40,30.5959,50.2417,95.88,2.08
252,Sunndalsøra,3135377,100,NO,1659498754,86,62.6754,8.5515,58.46,11.18
253,Port Hedland,2063042,15,AU,1659498754,47,-20.3167,118.5667,77.05,14.97
254,Palora,3653523,75,EC,1659498754,99,-1.7,-77.9333,63.68,2.57
255,Kloulklubed,7671223,100,PW,1659498497,92,7.0419,134.2556,77.5,20.24
256,Peno,511592,76,RU,1659498755,93,56.9262,32.7426,57.54,2.95
257,Kamenka,553766,100,RU,1659498755,60,51.3223,42.7678,67.89,10.36
258,Margate,2643044,41,GB,1659498183,95,51.3813,1.3862,64.9,4.0
259,Mānsa,1263622,61,IN,1659498756,57,29.9833,75.3833,91.17,0.96
260,Bintulu,1737486,40,MY,1659498756,74,3.1667,113.0333,88.21,2.3
261,Cururupu,3401148,8,BR,1659498727,93,-1.8283,-44.8683,74.28,3.76
